[2026-04-02T07:45:52.029Z] ═══ CONCORD MIGRATION START ═══
[2026-04-02T07:45:52.063Z] ✓ Source DB connected
[2026-04-02T07:45:52.280Z] ✓ Destination DB connected
[2026-04-02T07:45:52.282Z] ── Categories...
[2026-04-02T07:45:53.403Z]    ✓ 28 categories
[2026-04-02T07:45:53.404Z] ── Authors... skipped (news_users not in backup)
[2026-04-02T07:45:53.451Z]    ✓ Default author "News Team" created
[2026-04-02T07:45:53.452Z] ── Articles...
[2026-04-02T07:45:53.470Z]    Total: 17722
[2026-04-02T07:46:05.221Z]    Progress: 100/17722 — ok:100 fail:0
[2026-04-02T07:46:21.195Z]    Progress: 200/17722 — ok:200 fail:0
[2026-04-02T07:46:35.876Z]    Progress: 300/17722 — ok:300 fail:0
[2026-04-02T07:46:47.839Z]    Progress: 400/17722 — ok:400 fail:0
[2026-04-02T07:46:58.920Z]    Progress: 500/17722 — ok:500 fail:0
[2026-04-02T07:47:09.866Z]    Progress: 600/17722 — ok:600 fail:0
[2026-04-02T07:47:21.041Z]    Progress: 700/17722 — ok:700 fail:0
[2026-04-02T07:47:31.870Z]    Progress: 800/17722 — ok:800 fail:0
[2026-04-02T07:47:42.673Z]    Progress: 900/17722 — ok:900 fail:0
[2026-04-02T07:47:53.584Z]    Progress: 1000/17722 — ok:1000 fail:0
[2026-04-02T07:48:05.280Z]    Progress: 1100/17722 — ok:1100 fail:0
[2026-04-02T07:48:20.635Z]    Progress: 1200/17722 — ok:1200 fail:0
[2026-04-02T07:48:32.565Z]    Progress: 1300/17722 — ok:1300 fail:0
[2026-04-02T07:48:46.648Z]    Progress: 1400/17722 — ok:1400 fail:0
[2026-04-02T07:48:58.346Z]    Progress: 1500/17722 — ok:1500 fail:0
[2026-04-02T07:49:09.355Z]    Progress: 1600/17722 — ok:1600 fail:0
[2026-04-02T07:49:20.313Z]    Progress: 1700/17722 — ok:1700 fail:0
[2026-04-02T07:49:31.394Z]    Progress: 1800/17722 — ok:1800 fail:0
[2026-04-02T07:49:42.426Z]    Progress: 1900/17722 — ok:1900 fail:0
[2026-04-02T07:49:53.890Z]    Progress: 2000/17722 — ok:2000 fail:0
[2026-04-02T07:50:07.342Z]    Progress: 2100/17722 — ok:2100 fail:0
[2026-04-02T07:50:23.418Z]    Progress: 2200/17722 — ok:2200 fail:0
[2026-04-02T07:50:36.472Z]    Progress: 2300/17722 — ok:2300 fail:0
[2026-04-02T07:50:48.067Z]    Progress: 2400/17722 — ok:2400 fail:0
[2026-04-02T07:50:59.307Z]    Progress: 2500/17722 — ok:2500 fail:0
[2026-04-02T07:51:11.425Z]    Progress: 2600/17722 — ok:2600 fail:0
[2026-04-02T07:51:22.704Z]    Progress: 2700/17722 — ok:2700 fail:0
[2026-04-02T07:51:36.911Z]    Progress: 2800/17722 — ok:2800 fail:0
[2026-04-02T07:51:55.554Z]    Progress: 2900/17722 — ok:2900 fail:0
[2026-04-02T07:52:07.870Z]    Progress: 3000/17722 — ok:3000 fail:0
[2026-04-02T07:52:21.537Z]    Progress: 3100/17722 — ok:3100 fail:0
[2026-04-02T07:52:32.851Z]    Progress: 3200/17722 — ok:3200 fail:0
[2026-04-02T07:52:44.075Z]    Progress: 3300/17722 — ok:3300 fail:0
[2026-04-02T07:52:55.955Z]    Progress: 3400/17722 — ok:3400 fail:0
[2026-04-02T07:53:12.971Z]    Progress: 3500/17722 — ok:3500 fail:0
[2026-04-02T07:53:24.007Z]    Progress: 3600/17722 — ok:3600 fail:0
[2026-04-02T07:53:35.181Z]    Progress: 3700/17722 — ok:3700 fail:0
